Id,Site Id,Longitude,Latitude,Report Date / Time,Air Temperature,Wet Bulb,Dew Point,Concrete Temp.,Grass Temp.,Min. Temp. (last 24hr),Max. Temp. (last 24hr),Soil Temp. (at 10cm),Soil Temp. (at 30cm),Soil Temp. (at 100cm),Mean Sea-Level Pressure,Pressure (At Station),Relative Humidity,Rainfall Rate,Rainfall Accumulation,Wind Speed,Wind Direction,Wind Gust,Wind Gust Direction,Snow Depth,Soil Moisture,Present Weather,Visibility,Total Cloud Cover,Sunshine,Ground State,Day of Thunder,Day of Gales,Day of Hail,Day of Snow,Weather Diary,Travel Disruption,Hazards causing Travel Disruption,Property or Infrastructure Damage,Hazards causing Property or Infrastructure Damage,Personal Health and Safety,Hazards causing Personal Health and Safety,Utility Disruption,Hazards causing Utility Disruption,Service or Business Disruption,Hazards causing Service or Business Disruption,Agriculture Habitat Damage,Hazards causing Agriculture Habitat Damage,Disruption to Camping Events Leisure Activities,Hazards causing Disruption to Camping Events Leisure Activities,v1_Coastal,v1_Flood,v1_Ice,v1_Landslide,v1_Lightning,v1_PoorVisibility,v1_Snow,v1_Wildfire,v1_Wind,v1_Other
﻿20191013hbwtiz8pkoe6uqdnyyb96scn6y,406636954,130.8925018,-12.42389965,13/10/2019 00:50,30.3,,22,,,24.3,31.6,,,,1013.3,,61,0,0,5,315,9,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013mc7e4jzpmwe6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 01:50,32.7,,22,,,24.3,33,,,,1012.7,,53,0,0,10,292.5,12,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013zsde7dzpcwe6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 02:50,32.3,,22,,,24.3,33,,,,1011.7,,54,0,0,10,292.5,14,292.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019101363pizfzppwe6uqdnyyb96scn6y,406636954,130.8925018,-12.42389965,13/10/2019 03:50,32.2,,21.9,,,24.3,33.4,,,,1010.6,,54,0,0,11,292.5,15,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013pyrcpm8pqae6uqdnyyb96scn6y,406636954,130.8925018,-12.42389965,13/10/2019 04:50,32.2,,22.6,,,24.3,33.8,,,,1009.5,,57,0,0,13,315,17,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013zkzow3xpxae6uqdnyyb96scn6y,406636954,130.8925018,-12.42389965,13/10/2019 05:50,31.3,,21.7,,,24.3,33.8,,,,1009.2,,56,0,0,12,337.5,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013fjupqr8pohe6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 06:50,31.3,,19.6,,,24.3,33.8,,,,1008.9,,49,0,0,11,315,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013xueco7xpthe6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 07:50,30.3,,20,,,24.3,33.8,,,,1009.2,,54,0,0,7,337.5,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910139i5aem9p1he6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 08:50,30,,19.6,,,29.9,33.8,,,,1009.6,,53,0,0,5,315,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013ekcpbpzpwye6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 09:50,29.5,,18.1,,,29.4,33.8,,,,1010.1,,50,0,0,7,292.5,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013sbk1zaxpiye6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 10:50,28.6,,22.9,,,28.6,33.8,,,,1010.7,,71,0,0,7,270,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20191013bjdg8u8psre6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 11:50,28.7,,22.4,,,28.6,33.8,,,,1011.7,,68,0,0,10,292.5,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201910131na88p8pzre6uqdnyyb96sc6rw,406636954,130.8925018,-12.42389965,13/10/2019 12:50,28.6,,20.4,,,28.5,33.8,,,,1012.4,,61,0,0,9,315,19,337.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
