Day,Time (HHMM),DirectSun (W/m2),DiffuseSun (W/m2)
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
1,51,0,0
1,52,0,0
1,53,0,0
1,54,0,0
1,55,0,0
1,56,0,0
1,57,0,0
1,58,0,0
1,59,0,0
1,100,0,0
1,101,0,0
1,102,0,0
1,103,0,0
1,104,0,0
1,105,0,0
1,106,0,0
1,107,0,0
1,108,0,0
1,109,0,0
1,110,0,0
1,111,0,0
1,112,0,0
1,113,0,0
1,114,0,0
1,115,0,0
1,116,0,0
1,117,0,0
1,118,0,0
1,119,0,0
1,120,0,0
1,121,0,0
1,122,0,0
1,123,0,0
1,124,0,0
1,125,0,0
1,126,0,0
1,127,0,0
1,128,0,0
1,129,0,0
1,130,0,0
1,131,0,0
1,132,0,0
1,133,0,0
1,134,0,0
1,135,0,0
1,136,0,0
1,137,0,0
1,138,0,0
1,139,0,0
1,140,0,0
1,141,0,0
1,142,0,0
1,143,0,0
1,144,0,0
1,145,0,0
1,146,0,0
1,147,0,0
1,148,0,0
1,149,0,0
1,150,0,0
1,151,0,0
1,152,0,0
1,153,0,0
1,154,0,0
1,155,0,0
1,156,0,0
1,157,0,0
1,158,0,0
1,159,0,0
1,200,0,0
1,201,0,0
1,202,0,0
1,203,0,0
1,204,0,0
1,205,0,0
1,206,0,0
1,207,0,0
1,208,0,0
1,209,0,0
1,210,0,0
1,211,0,0
1,212,0,0
1,213,0,0
1,214,0,0
1,215,0,0
1,216,0,0
1,217,0,0
1,218,0,0
1,219,0,0
1,220,0,0
1,221,0,0
1,222,0,0
1,223,0,0
1,224,0,0
1,225,0,0
1,226,0,0
1,227,0,0
1,228,0,0
1,229,0,0
1,230,0,0
1,231,0,0
1,232,0,0
1,233,0,0
1,234,0,0
1,235,0,0
1,236,0,0
1,237,0,0
1,238,0,0
1,239,0,0
1,240,0,0
1,241,0,0
1,242,0,0
1,243,0,0
1,244,0,0
1,245,0,0
1,246,0,0
1,247,0,0
1,248,0,0
1,249,0,0
1,250,0,0
1,251,0,0
1,252,0,0
1,253,0,0
1,254,0,0
1,255,0,0
1,256,0,0
1,257,0,0
1,258,0,0
1,259,0,0
1,300,0,0
1,301,0,0
1,302,0,0
1,303,0,0
1,304,0,0
1,305,0,0
1,306,0,0
1,307,0,0
1,308,0,0
1,309,0,0
1,310,0,0
1,311,0,0
1,312,0,0
1,313,0,0
1,314,0,0
1,315,0,0
1,316,0,0
1,317,0,0
1,318,0,0
1,319,0,0
1,320,0,0
1,321,0,0
1,322,0,0
1,323,0,0
1,324,0,0
1,325,0,0
1,326,0,0
1,327,0,0
1,328,0,0
1,329,0,0
1,330,0,0
1,331,0,0
1,332,0,0
1,333,0,0
1,334,0,0
1,335,0,0
1,336,0,0
1,337,0,0
1,338,0,0
1,339,0,0
