Day,Time (HHMM),AirTemp (degC),AirPress (Pa),WindVel (m/s),WindDir (deg)
1,50,30.3,101330,2.572,315
1,51,30.34,101329,2.614866667,314.625
1,52,30.38,101328,2.657733333,314.25
1,53,30.42,101327,2.7006,313.875
1,54,30.46,101326,2.743466667,313.5
1,55,30.5,101325,2.786333333,313.125
1,56,30.54,101324,2.8292,312.75
1,57,30.58,101323,2.872066667,312.375
1,58,30.62,101322,2.914933333,312
1,59,30.66,101321,2.9578,311.625
1,100,30.7,101320,3.000666667,311.25
1,101,30.74,101319,3.043533333,310.875
1,102,30.78,101318,3.0864,310.5
1,103,30.82,101317,3.129266667,310.125
1,104,30.86,101316,3.172133333,309.75
1,105,30.9,101315,3.215,309.375
1,106,30.94,101314,3.257866667,309
1,107,30.98,101313,3.300733333,308.625
1,108,31.02,101312,3.3436,308.25
1,109,31.06,101311,3.386466667,307.875
1,110,31.1,101310,3.429333333,307.5
1,111,31.14,101309,3.4722,307.125
1,112,31.18,101308,3.515066667,306.75
1,113,31.22,101307,3.557933333,306.375
1,114,31.26,101306,3.6008,306
1,115,31.3,101305,3.643666667,305.625
1,116,31.34,101304,3.686533333,305.25
1,117,31.38,101303,3.7294,304.875
1,118,31.42,101302,3.772266667,304.5
1,119,31.46,101301,3.815133333,304.125
1,120,31.5,101300,3.858,303.75
1,121,31.54,101299,3.900866667,303.375
1,122,31.58,101298,3.943733333,303
1,123,31.62,101297,3.9866,302.625
1,124,31.66,101296,4.029466667,302.25
1,125,31.7,101295,4.072333333,301.875
1,126,31.74,101294,4.1152,301.5
1,127,31.78,101293,4.158066667,301.125
1,128,31.82,101292,4.200933333,300.75
1,129,31.86,101291,4.2438,300.375
1,130,31.9,101290,4.286666667,300
1,131,31.94,101289,4.329533333,299.625
1,132,31.98,101288,4.3724,299.25
1,133,32.02,101287,4.415266667,298.875
1,134,32.06,101286,4.458133333,298.5
1,135,32.1,101285,4.501,298.125
1,136,32.14,101284,4.543866667,297.75
1,137,32.18,101283,4.586733333,297.375
1,138,32.22,101282,4.6296,297
1,139,32.26,101281,4.672466667,296.625
1,140,32.3,101280,4.715333333,296.25
1,141,32.34,101279,4.7582,295.875
1,142,32.38,101278,4.801066667,295.5
